Config,ch0,ch1,ch2,ch3,hv0,hv1,hv2,hv3,Temp,Day
130,CMS 50x500 P2 Board 14,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P5",ATLAS 50x500 MW 2 Board 16,Photek Sidet,210,210,210,4800,20,ETROC v. UCSD
131,CMS 50x500 P2 Board 15,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P6",ATLAS 50x500 MW 2 Board 17,Photek Sidet,220,220,220,4800,20,ETROC v. UCSD
132,CMS 50x500 P2 Board 16,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P7",ATLAS 50x500 MW 2 Board 18,Photek Sidet,210,225,230,4800,20,ETROC v. UCSD
133,CMS 50x500 P2 Board 17,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P8",ATLAS 50x500 MW 2 Board 19,Photek Sidet,200,200,235,4800,20,ETROC v. UCSD
134,CMS 50x500 P2 Board 18,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P9",ATLAS 50x500 MW 2 Board 20,Photek Sidet,190,190,200,4800,20,ETROC v. UCSD
135,CMS 50x500 P2 Board 19,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P10",ATLAS 50x500 MW 2 Board 21,Photek Sidet,180,180,190,4800,20,ETROC v. UCSD
136,CMS 50x500 P2 Board 20,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P11",ATLAS 50x500 MW 2 Board 22,Photek Sidet,170,170,180,4800,20,ETROC v. UCSD
137,CMS 50x500 P2 Board 21,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P12",ATLAS 50x500 MW 2 Board 23,Photek Sidet,160,160,170,4800,20,ETROC v. UCSD
138,CMS 50x500 P2 Board 22,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P13",ATLAS 50x500 MW 2 Board 24,Photek Sidet,160,160,170,4800,20,ETROC v. UCSD
139,CMS 50x500 P2 Board 23,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P14",ATLAS 50x500 MW 2 Board 25,Photek Sidet,150,160,160,4800,20,ETROC v. UCSD
140,CMS 50x500 P2 Board 24,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P15",ATLAS 50x500 MW 2 Board 26,Photek Sidet,155,170,150,4800,20,ETROC v. UCSD
141,CMS 50x500 P2 Board 25,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P16",ATLAS 50x500 MW 2 Board 27,Photek Sidet,165,180,165,4800,20,ETROC v. UCSD
142,CMS 50x500 P2 Board 26,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P17",ATLAS 50x500 MW 2 Board 28,Photek Sidet,185,190,185,4800,20,ETROC v. UCSD
143,CMS 50x500 P2 Board 27,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P18",ATLAS 50x500 MW 2 Board 29,Photek Sidet,195,200,195,4800,20,ETROC v. UCSD
144,CMS 50x500 P2 Board 28,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P19",ATLAS 50x500 MW 2 Board 30,Photek Sidet,205,210,205,4800,20,ETROC v. UCSD
145,CMS 50x500 P2 Board 29,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P20",ATLAS 50x500 MW 2 Board 31,Photek Sidet,215,220,215,4800,20,ETROC v. UCSD
146,CMS 50x500 P2 Board 30,"ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P21",ATLAS 50x500 MW 2 Board 32,Photek Sidet,175,225,225,4800,20,ETROC v. UCSD
147,"ETROC0 11 Amplifier, ATLAS 50x500 MW W2 P5 1","ETROC0 9 Amplifier, ATLAS 90x500 MW W2 P21",ETROC0 9 Discriminator ATLAS 90x500 MW W2 P21,Photek Sidet,200,200,200,4800,20,ETROC 9 discriminator day
